D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
65438|2010|Toyota|Camry|sedan|Silver|89000|8995.00
82375|2015|Chevrolet|Malibu|sedan|Black|62000|10995.00
98652|2017|Nissan|Altima|sedan|White|45000|11995.00
74536|2014|BMW|X5|SUV|Blue|78000|21995.00
25894|2008|Volkswagen|Jetta|sedan|Gray|105000|5995.00
36547|2013|Hyundai|Elantra|sedan|Silver|68000|7995.00
38621|2021|Toyota|Supra|coupe|Blue|2100|58000.00
